iter	Passed	Remaining
0	2	273
1	5	275
2	8	267
3	10	258
4	13	250
5	15	244
6	18	242
7	20	238
8	22	230
9	24	222
10	26	214
11	27	205
12	29	196
13	30	190
14	32	183
15	33	176
16	34	169
17	35	163
18	37	158
19	38	153
20	39	148
21	40	143
22	41	138
23	42	134
24	43	129
25	44	126
26	45	122
27	46	118
28	47	115
29	47	111
30	48	108
31	49	105
32	50	102
33	51	99
34	52	97
35	53	94
36	54	92
37	55	89
38	55	87
39	56	85
40	57	82
41	58	80
42	59	78
43	60	76
44	60	74
45	61	72
46	62	70
47	63	69
48	64	67
49	65	65
50	66	64
51	67	62
52	68	60
53	69	59
54	70	57
55	71	55
56	71	54
57	72	52
58	73	51
59	74	49
60	75	48
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	107	3
97	108	2
98	109	1
99	110	0
